position,company,location,url
Data Engineer (w/m/div.),Bosch Group3 hours ago,"Reutlingen, Germany",https://jobs.smartrecruiters.com/BoschGroup/743999948582236-data-engineer-w-m-div-
Working Student in Business Excellence Solar & Batteries – Data & Digitalization,Vattenfall21 hours ago,"Berlin, Germany",https://jobs.smartrecruiters.com/Vattenfall/743999948433273-working-student-in-business-excellence-solar-batteries-data-digitalization
Working Student in Business Excellence Solar & Batteries – Data & Digitalization,Vattenfall21 hours ago,"Hamburg, Germany",https://jobs.smartrecruiters.com/Vattenfall/743999948431004-working-student-in-business-excellence-solar-batteries-data-digitalization
Machine Learning / AI Engineer (m/w/d),Hitachi Solutions18 hours ago,"Nürnberg, Frankfurt am Main, Braunschweig oder Hamburg, Germany",https://jobs.smartrecruiters.com/HitachiSolutions/743999948479923-machine-learning-ai-engineer-m-w-d-
Data Engineer (w/m/div.),Bosch Group3 hours ago,"Reutlingen, Germany",https://jobs.smartrecruiters.com/BoschGroup/743999948582236-data-engineer-w-m-div-
Data Engineer (w/m/div.),Bosch Group3 hours ago,"Reutlingen, Germany",https://jobs.smartrecruiters.com/BoschGroup/743999948582236-data-engineer-w-m-div-
Machine Learning / AI Engineer (m/w/d),Hitachi Solutions18 hours ago,"Nürnberg, Frankfurt am Main, Braunschweig oder Hamburg, Germany",https://jobs.smartrecruiters.com/HitachiSolutions/743999948479923-machine-learning-ai-engineer-m-w-d-
PreMaster Programm – Artificial Intelligence Gen. AI. (m/w/div.),Bosch Group4 days ago,"Bühl, Germany",https://jobs.smartrecruiters.com/BoschGroup/743999948053749-premaster-programm-artificial-intelligence-gen-ai-m-w-div-
ServiceNow Specialist - GenAI Focus (f/m/div.),Bosch Group4 days ago,"Stuttgart, Germany",https://jobs.smartrecruiters.com/BoschGroup/743999948045664-servicenow-specialist-genai-focus-f-m-div-
Product Manager (all genders) - focus AI,TeamViewer4 days ago,"Stuttgart, Germany",https://jobs.smartrecruiters.com/TeamViewer1/743999948018053-product-manager-all-genders-focus-ai
Product Manager (all genders) - focus AI,TeamViewer4 days ago,"Berlin, Germany",https://jobs.smartrecruiters.com/TeamViewer1/743999948013931-product-manager-all-genders-focus-ai
Product Manager (all genders) - focus AI,TeamViewer4 days ago,"Karlsruhe, Germany",https://jobs.smartrecruiters.com/TeamViewer1/743999948017643-product-manager-all-genders-focus-ai
Product Manager (all genders) - focus AI,TeamViewer4 days ago,"Göppingen, Germany",https://jobs.smartrecruiters.com/TeamViewer1/743999948015647-product-manager-all-genders-focus-ai
Product Manager (all genders) - focus AI,TeamViewer4 days ago,"Munich, Germany",https://jobs.smartrecruiters.com/TeamViewer1/743999948017293-product-manager-all-genders-focus-ai
Praktikum im Bereich AI in der Produktentwicklung (m/w/div.),Bosch Group13 days ago,"Bühl, Germany",https://jobs.smartrecruiters.com/BoschGroup/743999946040518-praktikum-im-bereich-ai-in-der-produktentwicklung-m-w-div-
Technical Architect D&AI (m/w/d),Hitachi Solutions25 days ago,"Nürnberg, Frankfurt am Main, Braunschweig oder Hamburg, Germany",https://jobs.smartrecruiters.com/HitachiSolutions/743999943685043-technical-architect-d-ai-m-w-d-
Research Scientist in Data and AI Model Auditing (f/m/div.),Bosch Groupa month ago,"Renningen, Germany",https://jobs.smartrecruiters.com/BoschGroup/743999943447707-research-scientist-in-data-and-ai-model-auditing-f-m-div-
